case_number,doc_id,sentence_id,token_id,token,sentence
24-1641,5,20,4,clearly,"But the specification clearly identifies “an alkaline environment” as one with “pH>7,” a definition that undisputedly is accurate only at standard temperature."
24-1641,5,20,22,undisputedly,"But the specification clearly identifies “an alkaline environment” as one with “pH>7,” a definition that undisputedly is accurate only at standard temperature."
24-1641,5,21,4,implicitly,"That identification therefore implicitly conveys an assumption about pH measurements, and that assumption is nowhere contradicted in the specification’s many references to pH."
24-1641,5,21,16,nowhere,"That identification therefore implicitly conveys an assumption about pH measurements, and that assumption is nowhere contradicted in the specification’s many references to pH."
24-1641,5,22,6,chiefly,"Moreover, the specification consists chiefly of reported results of comparative experiments testing mostly for stability (of powder or of solutions) of old and assertedly new solutions, where, e.g., pH values are being compared."
24-1641,5,22,14,mostly,"Moreover, the specification consists chiefly of reported results of comparative experiments testing mostly for stability (of powder or of solutions) of old and assertedly new solutions, where, e.g., pH values are being compared."
24-1641,5,22,27,assertedly,"Moreover, the specification consists chiefly of reported results of comparative experiments testing mostly for stability (of powder or of solutions) of old and assertedly new solutions, where, e.g., pH values are being compared."
24-1641,5,24,6,reasonably,The reports are thus more reasonably understood as indicating use of a uniform approach to measuring pH.
24-1641,5,30,35,persuasively,"Actelion relies on two additional pieces of intrinsic evidence—the examiner’s statement of reasons for allowance and the supposed purpose of the invention—for its actualtemperature reading of the claims, but neither persuasively supports Actelion’s construction."
24-1641,5,35,56,definitionally,"The stated purpose of the invention, relevant here, is to provide a “stable epoprostenol composition,” and the specification indicates that the amount of base added to the bulk solution (which would affect the standard-temperature pH), and not the bulk solution’s temperature (which, definitionally, would not), is relevant to whether the freeze-dried or reconstituted epoprostenol composition is stable."
24-1641,6,1,14,typically,"case, however, we do not stop there, though intrinsic evidence typically resolves claim-construction disputes."
24-1641,6,8,1,Evidence,"Evidence that relevant artisans use a claim term in an established and consistent way, including evidence of a “[w]ell known industry standard[ ],” see Wellman, Inc. v. Eastman Chemical Co., 642 F.3d 1355, 1367 (Fed. Cir. 2011), can be persuasive of the term’s meaning, cf."
24-1641,6,8,24,ell,"Evidence that relevant artisans use a claim term in an established and consistent way, including evidence of a “[w]ell known industry standard[ ],” see Wellman, Inc. v. Eastman Chemical Co., 642 F.3d 1355, 1367 (Fed. Cir. 2011), can be persuasive of the term’s meaning, cf."
24-1641,6,11,12,strongly,That is so in this case—where the extrinsic evidence strongly reinforces what is already indicated by the intrinsic evidence.
24-1641,6,12,5,properly,"The district court here properly relied on just that sort of extrinsic evidence to find that those skilled in making pharmaceutical compositions, when referring to pH, mean a measurement at standard temperature unless they indicate otherwise, and we discern no clear error in how the district court evaluated the record."
24-1641,6,17,6,reasonably,"The court, further, reasonably found that several general chemistry textbooks support the proposition that “pH values when generally described assume [standard ambient temperature and pressure] measurement.”"
24-1641,6,17,21,generally,"The court, further, reasonably found that several general chemistry textbooks support the proposition that “pH values when generally described assume [standard ambient temperature and pressure] measurement.”"
24-1641,6,24,39,undisputedly,"Indeed, the experts agreed that every reference to a bulk solution with pH 13 in the specification’s experimental results conforms to this default—that is, the specification’s references to a pH 13 bulk solution undisputedly connote adjusting the temperature of the bulk solution to 25±2°C and then measuring pH as 13."
24-1641,6,27,4,properly,"The district court properly concluded, based on the evidence of an influential industry standard that is undisputedly followed by the most relevant embodiments of the invention, that the term “pH of 13 or higher” refers to a standard-temperature pH measurement."
24-1641,6,27,18,undisputedly,"The district court properly concluded, based on the evidence of an influential industry standard that is undisputedly followed by the most relevant embodiments of the invention, that the term “pH of 13 or higher” refers to a standard-temperature pH measurement."
24-1641,6,30,4,reasonably,"The district court reasonably viewed the USP as more probative of the understanding of a relevant artisan than some of Actelion’s evidence, namely “generalized scientific textbooks.”"
24-1641,6,32,7,actually,"And Actelion’s evidence does not actually contradict the district court’s finding—that a statement of a pH value in the art is understood to refer to standard-temperature measurements “unless otherwise specified,” thus recognizing that a particular statement might specify otherwise."
24-1641,6,32,14,—that,"And Actelion’s evidence does not actually contradict the district court’s finding—that a statement of a pH value in the art is understood to refer to standard-temperature measurements “unless otherwise specified,” thus recognizing that a particular statement might specify otherwise."
24-1641,6,34,5,merely,Actelion’s cited evidence merely shows instances of such specification; none of it says that a pH value without identification of a temperature should be assumed to mean anything other than a pH measured at standard temperature.
24-1641,6,37,10,internally,"Actelion also criticizes the district court’s decision as internally inconsistent, but this criticism is unpersuasive."
24-1641,7,3,37,narrowly,"Instead, we understand the court to have been laying out an undisputed scientific fact about temperature’s effect on pH—before it went on, in the next several paragraphs of its decision, to more narrowly interpret the claim language in light of the relevant extrinsic evidence."
24-1641,7,6,7,undisputedly,"Under that construction, there is undisputedly no literal infringement."
24-1641,7,7,10,literally,We therefore affirm the finding that Mylan does not literally infringe.
24-1641,7,7,11,infringe,We therefore affirm the finding that Mylan does not literally infringe.
24-1641,7,13,13,presumptively,Such “a narrowing amendment made for a reason of patentability” presumptively “surrenders the entire territory between the original claim limitation and the
24-1641,7,18,10,very,"Of relevance here, there is a “‘very narrow’” exception to such scope of surrender, Eli Lilly, 933 F.3d at 1330–31 (quoting Integrated Technology Corp. v. Rudolph Technologies, Inc., 734 F.3d 1352, 1358 (Fed."
24-1641,7,19,27,literally,"Cir. 2013)), that applies if the patentee shows “that the way in which the alleged equivalent departs from what the claim limitation literally requires is tangential to the discernible objective reason for the narrowing amendment,” Ajinomoto Co., Inc. v. International Trade Commission, 932 F.3d 1342, 1354 (Fed."
24-1641,7,21,3,entirely,"Actelion relies entirely on the tangentiality exception to argue that prosecution history estoppel does not apply here, but its arguments are unpersuasive."
24-1641,7,27,24,functionally,Actelion contends that the claim amendment comes within the tangentiality exception because the rationale for the amendment was not to surrender a “functionally equivalent bulk solution having the same relevant chemical
24-1641,8,2,6,independently,The disclosure-dedication rule independently bars Actelion’s theory of infringement by an equivalent.
24-1641,8,12,17,preferably,"Actelion’s patents disclose that “[t]he pH of the bulk solution is preferably adjusted to about 12.5–13.5, most preferably 13.”"
24-1641,8,12,20,about,"Actelion’s patents disclose that “[t]he pH of the bulk solution is preferably adjusted to about 12.5–13.5, most preferably 13.”"
24-1641,8,12,25,preferably,"Actelion’s patents disclose that “[t]he pH of the bulk solution is preferably adjusted to about 12.5–13.5, most preferably 13.”"
24-1641,8,15,3,Preferably,"(“Preferably, the base is added so that the pH of the bulk solution is greater than 11, preferably greater"
24-1641,8,15,22,preferably,"(“Preferably, the base is added so that the pH of the bulk solution is greater than 11, preferably greater"
24-1641,8,18,7,preferably,"than 12, and, most preferably greater than 13.”)."
24-1641,8,19,4,sufficiently,"Those disclosures are sufficiently specific to identify the ranges of pH 12.5 to 13, 12 to 13, and greater than 12."
24-1641,8,20,5,plainly,"Moreover, those disclosures plainly correspond to, and are expressly identified as alternatives to, the claim limitation requiring a pH of 13 or higher."
24-1641,8,20,11,expressly,"Moreover, those disclosures plainly correspond to, and are expressly identified as alternatives to, the claim limitation requiring a pH of 13 or higher."
24-1641,8,21,11,preferably,"Id., col. 5, lines 36–37 (“preferably greater than 12, and, most preferably greater than 13”)."
24-1641,8,21,19,preferably,"Id., col. 5, lines 36–37 (“preferably greater than 12, and, most preferably greater than 13”)."
24-1641,8,22,28,mutually,Actelion cites no support in our case law for its suggestion that the disclosure-dedication rule should not apply here because the disclosed alternatives are not mutually exclusive with each other.
24-1641,8,23,38,importantly,"And that suggestion is contrary to the purpose of the rule, which, consistent with ordinary principles of claim interpretation, seeks to give effect to how relevant artisans would understand what has, and more importantly what has not, been claimed."
24-1641,8,24,11,mutually,That principle does not require that the disclosed alternatives be mutually exclusive; overlapping alternatives are readily susceptible of being clearly disclosed and yet partially unclaimed.
24-1641,8,24,17,readily,That principle does not require that the disclosed alternatives be mutually exclusive; overlapping alternatives are readily susceptible of being clearly disclosed and yet partially unclaimed.
24-1641,8,24,21,clearly,That principle does not require that the disclosed alternatives be mutually exclusive; overlapping alternatives are readily susceptible of being clearly disclosed and yet partially unclaimed.
24-1641,8,24,25,partially,That principle does not require that the disclosed alternatives be mutually exclusive; overlapping alternatives are readily susceptible of being clearly disclosed and yet partially unclaimed.
25-1944,1,43,1,Nearly,"Nearly nine years later, on April 9, 2024, Ms. Martin filed a petition for enforcement with the Board, asserting that the agency breached the settlement agreement by failing to expunge her OPF as agreed in paragraph 2(a) and by providing her un-expunged OPF to a third-party attorney."
25-1944,1,53,22,information—namely,"Combined with the agency’s evidence of compliance, and evidence of alternative ways Deposing Counsel could have obtained the disciplinary information—namely,"
25-1944,2,7,3,timely,"Ms. Martin timely appealed, and we have jurisdiction pursuant to 28 U.S.C. § 1295(a)(9)."
25-1944,2,24,3,online,Decision available online.
25-1944,2,41,13,consistently,"Ms. Martin’s argument is belied by the record: the agency consistently denied any breach of the settlement agreement, and the Board explicitly concluded that Ms. Martin failed to prove any breach of the settlement agreement."
25-1944,2,41,25,explicitly,"Ms. Martin’s argument is belied by the record: the agency consistently denied any breach of the settlement agreement, and the Board explicitly concluded that Ms. Martin failed to prove any breach of the settlement agreement."
24-1772,1,40,36,adequately,"Relevant to this appeal, the district court construed the claims and, during discovery, struck certain theories of VLSI’s damages expert, Dr. Sullivan, because the court determined VLSI failed to adequately disclose those theories in its damages contentions."
24-1772,2,10,50,correctly,"“The Ninth Circuit ‘review[s] the district court’s grant of summary judgment de novo, determining whether, viewing all evidence in the light most favorable to the nonmoving party, there are any genuine issues of material fact and whether the district court correctly applied the relevant substantive law.’”"
24-1772,2,18,5,directly,VLSI argues this conclusion directly
24-1772,2,22,49,therewith,"Of the total, global number of Intel products and associated activities determined (without regard to geographic considerations) to meet the technical requirements of any asserted VLSI patent claim not proven invalid by Intel, as well as any actual or projected revenues or profits associated therewith, seventy percent (70%) thereof will be deemed to have a United States nexus as required by each subsection of 35 U.S.C. § 271 and for determining any patent infringement damages in this case. . . ."
24-1772,2,22,57,thereof,"Of the total, global number of Intel products and associated activities determined (without regard to geographic considerations) to meet the technical requirements of any asserted VLSI patent claim not proven invalid by Intel, as well as any actual or projected revenues or profits associated therewith, seventy percent (70%) thereof will be deemed to have a United States nexus as required by each subsection of 35 U.S.C. § 271 and for determining any patent infringement damages in this case. . . ."
24-1772,2,22,66,nexus,"Of the total, global number of Intel products and associated activities determined (without regard to geographic considerations) to meet the technical requirements of any asserted VLSI patent claim not proven invalid by Intel, as well as any actual or projected revenues or profits associated therewith, seventy percent (70%) thereof will be deemed to have a United States nexus as required by each subsection of 35 U.S.C. § 271 and for determining any patent infringement damages in this case. . . ."
24-1772,2,28,34,automatically,"Here, the stipulation’s plain and unambiguous language establishes that, for all accused Intel products and activities determined to meet the technical requirements of the asserted claims, 70% will automatically be treated as having a U.S. nexus for infringement purposes."
24-1772,2,31,6,directly,"This reasoning, however, directly contradicts the stipulation, which requires the technical requirement determination be conducted “without regard to geographic considerations.”"
24-1772,2,34,11,merely,We are unpersuaded by Intel’s arguments that the stipulation merely provided “an agreed-upon accounting
24-1772,2,42,4,entirely,"Section 271 is entirely about infringement, not damages."
24-1772,3,1,31,freely,"f this strategic choice proved unwise in retrospect, we decline to look past the clear language of the stipulation to “rescue” Intel from its decision to “freely enter[]” an agreement “which it later finds to be imprudently made.”"
24-1772,3,1,45,imprudently,"f this strategic choice proved unwise in retrospect, we decline to look past the clear language of the stipulation to “rescue” Intel from its decision to “freely enter[]” an agreement “which it later finds to be imprudently made.”"
24-1772,3,5,14,separately,"With respect to the asserted apparatus claims, VLSI argues the district court separately erred in concluding that VLSI cannot prove infringement because it did not provide “evidence that the accused technology is"
24-1772,3,8,1,reasonably,"reasonably capable of meeting the testing claim limitation [(i.e., ‘measuring a performance parameter value for a core’)] in the United States.”"
24-1772,3,10,5,sufficiently,"VLSI argues that it sufficiently showed the accused products corresponded to the patented invention and that they include a “performance measurement circuit for measuring a performance parameter value for said core,” as recited in claim 10."
24-1772,3,12,18,reasonably,"In VLSI’s view, the district court erred because, despite agreeing the accused devices are reasonably capable of performing the claimed measuring, the court improperly objected to the fact that the measuring was not performed in the United States."
24-1772,3,12,28,improperly,"In VLSI’s view, the district court erred because, despite agreeing the accused devices are reasonably capable of performing the claimed measuring, the court improperly objected to the fact that the measuring was not performed in the United States."
24-1772,3,14,8,differently,"Intel reads the district court’s order differently, arguing the court was not only concerned with where the measuring was performed, but also with whether the accused products alone were reasonably capable of “measuring a performance parameter value” without significant alterations."
24-1772,3,14,31,alone,"Intel reads the district court’s order differently, arguing the court was not only concerned with where the measuring was performed, but also with whether the accused products alone were reasonably capable of “measuring a performance parameter value” without significant alterations."
24-1772,3,14,33,reasonably,"Intel reads the district court’s order differently, arguing the court was not only concerned with where the measuring was performed, but also with whether the accused products alone were reasonably capable of “measuring a performance parameter value” without significant alterations."
24-1772,3,18,7,correctly,"According to Intel, the court correctly granted summary judgment of noninfringement because “the only evidence that VLSI presented concerned the alleged capabilities of the accused products when combined with an external testing device called an ‘ATE tester’ in Intel’s overseas manufacturing facilities.”"
24-1772,3,21,43,reasonably,"As an initial matter, we believe VLSI has a more reasonable view of the district court’s order because Intel’s motion for summary judgment focused on where the claimed measuring limitations were practiced, not whether the accused products were reasonably capable of performing them without significant alterations."
24-1772,3,26,44,emphasis,"at 6197 (arguing, with respect to the asserted apparatus claims, that “VLSI cannot show that the accused circuity in Intel’s products is capable of ‘measuring a performance parameter value’ in the United States” (emphasis added))."
24-1772,3,27,17,improperly,"Under this view of the district court’s order, VLSI is correct that the court improperly focused on where the claimed measuring limitations were practiced instead of the undisputed fact that Intel imported and sold the accused products in the United States."
24-1772,3,30,34,reasonably,"We further note that, even under Intel’s understanding of the district court’s order, there is a genuine dispute of material fact as to whether the accused products are “reasonably capable of performing the claimed functions without significant alterations.”"
24-1772,4,13,8,incorrectly,"Specifically, VLSI argues the district court incorrectly invoked prosecution disclaimer to construe claim 10 as requiring the claimed “selecting a core” to be performed “upon identifying” a single-core task."
24-1772,4,39,3,primarily,The parties primarily dispute the application of our prosecution disclaimer doctrine to three statements made by the patent applicants during prosecution:
24-1772,5,3,5,respectfully,"3. “Applicants respectfully submit that there is no teaching or suggestion by Kim of identifying tasks ‘that can not be run by the plurality of cores,’ much less of assigning such single-core tasks to the fastest core, as claimed.”"
24-1772,5,7,5,reasonably,"Moreover, they can reasonably be interpreted as distinguishing the prior art on the basis that claim 10 requires identification of a single-core processing task irrespective of when it is done in relation to core selection."
24-1772,5,7,28,irrespective,"Moreover, they can reasonably be interpreted as distinguishing the prior art on the basis that claim 10 requires identification of a single-core processing task irrespective of when it is done in relation to core selection."
24-1772,5,9,5,closer,The first statement comes closer to suggesting that claim 10 includes an “upon identifying” limitation requiring a specific order of operations.
24-1772,5,14,4,simultaneously,occurs before or simultaneously to identifying a single-core processing task.
24-1772,5,16,7,best,"Because this statement is, at best, “ambiguous or amenable to multiple reasonable interpretations, prosecution disclaimer is not established.”"
24-1772,5,22,22,adequately,We now consider the district court’s striking of Dr. Sullivan’s damages theories due to VLSI’s purported failure to adequately disclose them in accordance with the court’s local patent rules.
24-1772,5,25,15,clearly,"A district court abuses its discretion when “(1) the decision was clearly unreasonable, arbitrary, or fanciful; (2) the decision was based on an erroneous conclusion of law; (3) the court’s findings were clearly erroneous; or (4) the record contains no evidence upon which the court rationally could have based its decision.”"
24-1772,5,25,45,clearly,"A district court abuses its discretion when “(1) the decision was clearly unreasonable, arbitrary, or fanciful; (2) the decision was based on an erroneous conclusion of law; (3) the court’s findings were clearly erroneous; or (4) the record contains no evidence upon which the court rationally could have based its decision.”"
24-1772,5,25,61,rationally,"A district court abuses its discretion when “(1) the decision was clearly unreasonable, arbitrary, or fanciful; (2) the decision was based on an erroneous conclusion of law; (3) the court’s findings were clearly erroneous; or (4) the record contains no evidence upon which the court rationally could have based its decision.”"
24-1772,5,34,10,fairly,It “does not require certainty and is not fairly interpreted as replacing the robust analysis of a patent damages expert report.”
24-1772,6,1,28,properly,"I’s motion to reverse the order striking Dr. Sullivan’s testimony, finding no clear error in the magistrate judge’s determinations that VLSI did not properly disclose the data underlying Dr."
24-1772,6,6,20,clearly,"Without opining on the precise contours of Patent Local Rule 3-8, we conclude it was not clearly erroneous for the district court to find that the limited support relied on by VLSI in its damages contentions, the disparate placement of relevant references (including in several-page-long string citations), and the failure to expressly disclose readily available figures later relied on by Dr. Sullivan were insufficient to notify Intel of the data"
24-1772,6,6,63,expressly,"Without opining on the precise contours of Patent Local Rule 3-8, we conclude it was not clearly erroneous for the district court to find that the limited support relied on by VLSI in its damages contentions, the disparate placement of relevant references (including in several-page-long string citations), and the failure to expressly disclose readily available figures later relied on by Dr. Sullivan were insufficient to notify Intel of the data"
24-1772,6,6,65,readily,"Without opining on the precise contours of Patent Local Rule 3-8, we conclude it was not clearly erroneous for the district court to find that the limited support relied on by VLSI in its damages contentions, the disparate placement of relevant references (including in several-page-long string citations), and the failure to expressly disclose readily available figures later relied on by Dr. Sullivan were insufficient to notify Intel of the data"
24-1772,6,11,3,especially,"This is especially true in the context of this litigation, where (1) VLSI’s damages contentions had become a “recurring issue between the parties,” J.A. 66–67, and (2) the court had previously warned VLSI that its damages contentions must “describe with specificity the bases for its damages claim” including “[a]n identification and explanation of each specific damages theory that VLSI intends to pursue,” “[a]ll facts known to VLSI that support each such damages theory,” and “[a]ll calculations known to VLSI on which VLSI bases each such damages theory,” J.A. 8075."
